species_key,occurrence_count,scientific_name
2426805,631706,Rana temporaria
5217160,597411,Bufo bufo
2424585,279920,Crinia signifera
5218405,267420,Lissotriton vulgaris
2431885,203688,Triturus cristatus
2431783,193527,Ichthyosaura alpestris
2431776,191848,Salamandra salamandra
2431491,173244,Plethodon cinereus
5218410,170004,Lissotriton helveticus
2422507,162600,Epidalea calamita
2429583,148364,Limnodynastes peronii
2427091,144288,Lithobates catesbeianus
2422872,138077,Anaxyrus americanus
2427573,137616,Hyla arborea
2427172,124317,Lithobates clamitans
2429578,110328,Limnodynastes tasmaniensis
2426760,106757,Rana dalmatina
2427831,99884,Litoria peronii
2426612,95671,Alytes obstetricans
2427671,94214,Litoria fallax
2423435,94100,Bombina variegata
2426654,91148,Pelophylax lessonae
2426789,87969,Rana arvalis
2427072,86472,Lithobates sylvaticus
2426661,82650,Pelophylax ridibundus
5218390,75453,Notophthalmus viridescens
2422538,74694,Duttaphrynus melanostictus
2428132,74359,Pseudacris regilla
2427555,72403,Hyla meridionalis
2427185,71926,Lithobates pipiens
2429581,68378,Limnodynastes dumerilii
2430396,67301,Fejervarya limnocharis
5216933,66836,Rhinella marina
2426947,63219,Hylarana latouchii
2428182,62328,Pseudacris crucifer
2426658,59878,Pelophylax perezi
2427705,59664,Litoria ewingii
9421513,58504,Bufo spinosus
10842219,52638,Ranoidea caerulea
2424593,50398,Crinia parinsignifera
10810025,45437,Dryophytes cinereus
2431750,42702,Batrachoseps attenuatus
2423787,41327,Polypedates megacephalus
2427755,40995,Litoria verreauxii
2422924,40990,Anaxyrus boreas
2431886,40433,Triturus marmoratus
10595763,39666,Ranoidea aurea
10806364,38596,Dryophytes versicolor
9529916,37288,Bufotes viridis
2431951,36601,Ambystoma maculatum
2427093,33033,Lithobates sphenocephalus
2422905,32808,Anaxyrus fowleri
2431224,32483,Desmognathus fuscus
2424293,32388,Pelodytes punctatus
2422404,31456,Incilius nebulifer
5217163,31235,Bufo bankorensis
2431913,30784,Taricha torosa
2431643,30271,Ensatina eschscholtzii
2423834,30042,Kurixalus idiootocus
2431539,29476,Plethodon glutinosus
2427616,29176,Acris crepitans
10365883,28504,Sylvirana guentheri
2422865,28288,Anaxyrus woodhousii
2427610,27618,Acris blanchardi
2422105,26614,Microhyla fissipes
2422916,25282,Anaxyrus terrestris
2427056,25189,Lithobates palustris
2429607,24268,Adelotus brevis
2428083,24216,Osteopilus septentrionalis
2431199,23487,Desmognathus ochrophaeus
2430565,22742,Pelobates cultripes
2427754,22217,Litoria latopalmata
5218376,22191,Eurycea bislineata
2431920,22002,Taricha granulosa
2427256,21844,Odorrana swinhoana
9409066,21841,Polypedates braueri
10892611,21471,Rhinella horribilis
10843277,21272,Dryophytes squirellus
10870167,21142,Ranoidea raniformis
2429573,20983,Platyplectrum ornatum
2424588,20785,Crinia glauerti
10863553,20646,Dryophytes chrysoscelis
10822921,20476,Buergeria choui
2430567,20263,Pelobates fuscus
10824904,20041,Ranoidea gracilenta
2427779,19489,Litoria rubella
5217228,18684,Buergeria robusta
2423443,18239,Bombina bombina
2427823,18223,Litoria tyleri
2422890,18034,Anaxyrus punctatus
5218029,17386,Dendrobates truncatus
2431781,17275,Salamandra atra
2423497,16247,Engystomops pustulosus
2424555,16132,Mixophyes fasciolatus
10877828,16086,Zhangixalus moltrechti
10857535,16008,Dryophytes japonicus
2430491,15263,Limnonectes fujianensis
2427110,14762,Lithobates berlandieri
2432006,14591,Ambystoma opacum
10889090,14579,Nidirana adenopleura
2428169,14567,Pseudacris maculata
5218366,14311,Eurycea cirrigera
2427814,13962,Litoria nasuta
2426634,13579,Pelophylax nigromaculatus
2431233,13483,Desmognathus monticola
2431459,13459,Pseudotriton ruber
2424630,13315,Uperoleia laevigata
2429795,13201,Scaphiopus couchii
2428680,13065,Smilisca baudinii
2427839,12984,Litoria adelaidensis
5217144,12821,Bufo gargarizans
2431506,12645,Plethodon montanus
2432014,12513,Ambystoma laterale
2422882,12118,Anaxyrus cognatus
2424597,11993,Crinia georgiana
2431529,11963,Plethodon jordani
2421766,11917,Gastrophryne carolinensis
2431219,11902,Desmognathus ocoee
10856573,11635,Ranoidea moorei
2422389,11524,Incilius valliceps
2424568,11515,Pseudophryne bibronii
10894420,11489,Dryophytes arenicolor
2427618,11424,Acris gryllus
2431711,11328,Aneides lugubris
2427571,11279,Hyla chinensis
2431993,11196,Ambystoma tigrinum
2423840,11137,Kurixalus eiffingeri
2424629,10852,Uperoleia fusca
2431516,10686,Plethodon metcalfi
10754639,10242,Ranoidea phyllochroa
2423785,10197,Polypedates leucomystax
2424089,10043,Eleutherodactylus planirostris
2431489,9999,Plethodon cylindraceus
10851350,9919,Sclerophrys pantherina
2429587,9850,Limnodynastes fletcheri
10787842,9820,Ranoidea lesueurii
5217556,9743,Leptodactylus fuscus
2429785,9612,Spea multiplicata
2423441,9587,Bombina orientalis
2424575,9476,Pseudophryne coriacea
2429559,9191,Neobatrachus sudelli
2426808,9163,Rana aurora
5218408,9145,Lissotriton boscai
2424022,9080,Diasporus gularis
2431423,9045,Gyrinophilus porphyriticus
2431142,9024,Hynobius leechii
11377651,9021,Litoria quiritatus
2429789,8904,Spea bombifrons
2431875,8864,Pleurodeles waltl
2427701,8764,Litoria inermis
10757240,8750,Zhangixalus taipeianus
2424616,8713,Geocrinia victoriana
2431965,8685,Ambystoma macrodactylum
10867288,8674,Dryophytes eximius
2427835,8544,Litoria bicolor
2426803,8519,Rana dybowskii
2429582,8484,Limnodynastes convexiusculus
5218348,8420,Eurycea longicauda
2431978,8401,Ambystoma mavortium
2431769,8391,Batrachoseps nigriventris
2429585,8383,Limnodynastes dorsalis
2426774,8252,Rana iberica
2427847,8224,Litoria dentata
5217952,8166,Scinax ruber
2428141,8123,Pseudacris triseriata
2425166,8118,Pristimantis achatinus
2428130,8085,Pseudacris cadaverina
2429796,8002,Scaphiopus holbrookii
10857682,7979,Nyctimystes infrafrenatus
10767031,7736,Zhangixalus prasinatus
2426762,7666,Rana longicrus
5217671,7492,Hyperolius marmoratus
2431824,7383,Calotriton asper
2428504,7375,Dendropsophus microcephalus
2421636,7350,Kaloula pulchra
2429135,7335,Oophaga pumilio
2422117,7256,Microhyla heymonsi
2427800,7149,Litoria rothii
5217525,7149,Leptodactylus melanonotus
2426616,7114,Discoglossus galganoi
2431998,6810,Ambystoma gracile
2431484,6794,Plethodon teyahalee
5217334,6783,Xenopus laevis
2421773,6773,Gastrophryne olivacea
2426814,6763,Rana boylii
2431514,6657,Plethodon vehiculum
2428197,6614,Agalychnis callidryas
2422934,6610,Anaxyrus debilis
2426617,6565,Discoglossus pictus
2431510,6546,Plethodon serratus
10737932,6438,Ranoidea wilcoxii
5217229,6405,Buergeria japonica
2427062,6385,Lithobates blairi
5216969,6385,Rhinella margaritifera
2431237,6351,Desmognathus conanti
2430382,6307,Hoplobatrachus rugulosus
5218384,6272,Eurycea wilderae
2431962,6256,Ambystoma jeffersonianum
2424596,6198,Crinia tinnula
9388146,6173,Buergeria otai
2422892,6055,Anaxyrus speciosus
2431763,6015,Batrachoseps major
2427565,5998,Hyla orientalis
2428152,5947,Pseudacris feriarum
2431220,5896,Desmognathus carolinensis
2424562,5878,Mixophyes iteratus
