species_key,occurrence_count,scientific_name
9783587,1604695,Desmophyllum pertusum
2262087,1590951,Paragorgia arborea
5184461,1590376,Desmophyllum dianthus
2260584,1586136,Madrepora oculata
11059991,1582391,Ptilella grandis
11711225,1581502,Callistephanus pallida
2259417,1581272,Stenocyathus vermiformis
2262473,1581095,Anthomastus grandiflorus
2260018,1580880,Fungiacyathus fragilis
2263005,1580776,Radicipes gracilis
5185297,1580710,Anthelia fallax
5184878,1580704,Clavularia arctica
5184444,1580564,Virgularia glacialis
2256852,254570,Anthopleura xanthogrammica
2256825,254467,Anthopleura sola
4339111,236697,Cribrinopsis albopunctata
2264084,229311,Leptogorgia chilensis
2258602,223550,Pachycerianthus fimbriatus
2260962,217471,Muricea californica
2260965,217355,Muricea fruticosa
4283467,187764,Urticina piscivora
2264050,163508,Eugorgia rubens
2256789,121313,Urticina crassicornis
2256798,120287,Urticina coriacea
2256793,94665,Urticina columbiana
2256759,91185,Epiactis prolifera
2256826,64821,Anthopleura elegantissima
4283468,55568,Urticina mcpeaki
5185175,48871,Alcyonium digitatum
2256847,45200,Anthopleura artemisia
2258575,39971,Cerianthus lloydii
5184785,39344,Porites astreoides
8279523,38241,Orbicella faveolata
2258895,37378,Siderastrea siderea
7617481,36335,Orbicella annularis
6472159,35612,Actinostella bradleyi
2259464,34681,Pocillopora damicornis
2260050,33972,Montastraea cavernosa
8381611,33728,Heteropolypus ritteri
2260503,30895,Agaricia agaricites
7454555,30144,Pseudodiploria strigosa
2259158,26456,Caryophyllia smithii
2256644,25357,Anemonia viridis
2256780,25239,Urticina felina
2260043,25029,Colpophyllia natans
5184338,24049,Cylista troglodytes
2256559,22901,Actinia equina
5184657,22377,Acropora palmata
7454567,22173,Orbicella franksi
5184779,20721,Porites porites
2260167,20144,Diploria labyrinthiformis
8717855,19288,Callistephanus pacificus
2260502,17672,Agaricia tenuifolia
9705144,17499,Stephanocoenia intersepta
2258898,16751,Siderastrea radians
2259752,16595,Meandrina meandrites
8377035,16340,Pseudodiploria clivosa
2260504,15340,Agaricia lamarcki
5184681,15285,Acropora cervicornis
2259738,15232,Eusmilia fastigiata
5784766,14750,Dichocoenia stokesii
2260491,14166,Helioseris cucullata
2259487,13839,Madracis decactis
11353393,13752,Agaricia fragilis
11181921,13742,Cylista elegans
2260111,13677,Manicina areolata
2259460,13649,Pocillopora capitata
4283431,13615,Actinothoe sphyrodeta
2260076,13137,Solenastrea bournoni
2260119,12491,Favia fragum
2260298,12340,Mycetophyllia aliciae
2260700,12287,Corynactis viridis
2260356,11890,Mussa angulosa
2260297,11382,Mycetophyllia ferox
5184828,11251,Oculina diffusa
5184786,11244,Porites furcata
2260358,11151,Isophyllia rigida
5184446,11123,Virgularia mirabilis
2260507,10899,Agaricia humilis
2260360,10734,Isophyllia sinuosa
5711898,10538,Porites divaricata
4944083,10249,Dendrogyra cylindrus
5711863,10062,Metridium dianthus
5841759,9789,Palythoa caribaeorum
5184341,9734,Cereus pedunculatus
5184411,9721,Umbellula lindahli
2260337,9218,Scolymia cubensis
2259062,9207,Solenosmilia variabilis
5183974,9113,Metridium senile
2260505,9107,Agaricia grahamae
5183997,9061,Edwardsia claparedii
5784825,8780,Madracis auretenra
2258030,8670,Parazoanthus axinellae
2260295,8656,Mycetophyllia lamarckiana
2259606,8558,Enallopsammia rostrata
2259482,8013,Madracis formosa
5185376,7845,Gorgonia ventalina
2259549,7267,Tubastraea coccinea
2263967,7112,Eunicella verrucosa
2261251,6948,Paramuricea clavata
4283771,6917,Balticina californica
5184655,6733,Acropora prolifera
2262143,6658,Erythropodium caribaeorum
2263962,6565,Eunicella cavolini
2257274,6558,Aiptasia mutabilis
2261417,6418,Briareum asbestinum
2260075,6399,Solenastrea hyades
2257114,6358,Protanthea simplex
4880484,6177,Mycetophyllia danaana
2258703,6164,Pennatula aculeata
2258697,6088,Pennatula phosphorea
5184754,5995,Porites branneri
7567180,5963,Chromoplexaura marki
5184766,5717,Porites lobata
2258789,5607,Kophobelemnon stelliferum
