species_key,occurrence_count,scientific_name
2160133,219569,Araneus diadematus
2188249,189359,Varroa destructor
2150764,146258,Pisaura mirabilis
5170994,134753,Argiope bruennichi
2153287,104951,Zoropsis spinimana
2165951,86857,Misumena vatia
2172595,68878,Salticus scenicus
2168338,67699,Marpissa muscosa
5173257,64089,Phidippus audax
5171022,62938,Argiope aurantia
4553496,60519,Opilio canestrinii
2149937,57213,Pholcus phalangioides
5776654,55217,Phalangium opilio
2158999,48585,Nuctenea umbratica
2135959,39248,Tenuiphantes tenuis
2146260,38280,Pardosa pullata
2184301,37519,Amblyomma americanum
10886629,36788,Trichonephila clavipes
2145815,36387,Trochosa terricola
4549071,35222,Varroa jacobsoni
5170070,35016,Pachygnatha degeeri
2159061,34899,Mangora acalypha
2157245,33846,Steatoda grossa
4553430,32266,Dicranopalpus ramosus
5171516,32103,Synema globosum
2171189,29986,Platycryptus undatus
5170973,29396,Argiope trifasciata
2146241,28924,Pardosa amentata
2158546,28738,Gasteracantha cancriformis
2154595,28681,Anyphaena accentuata
4549759,28324,Trachytes aegrota
2159204,27597,Larinioides cornutus
2151568,26823,Leucauge venusta
5170999,26796,Argiope argentata
2182588,26461,Ixodes ricinus
2137734,26022,Erigone atra
2158882,26006,Neoscona crucifera
2158077,25273,Enoplognatha ovata
2159735,24170,Araneus quadratus
2147438,23581,Alopecosa pulverulenta
2149490,23483,Nephila pilipes
2150992,23315,Pisaurina mira
4553358,23223,Mitopus morio
2146140,23211,Pardosa lugubris
2137716,23196,Erigone dentipalpis
2146174,22844,Pardosa palustris
2150903,22715,Dolomedes tenebrosus
2157242,22548,Steatoda triangulosa
2157203,22289,Steatoda nobilis
8327349,22183,Piratula hygrophila
2169064,21427,Menemerus bivittatus
2134068,20956,Bathyphantes gracilis
2134314,20947,Diplostyla concolor
2159970,20561,Araneus marmoreus
2166135,20046,Thomisus onustus
2145852,20029,Trochosa ruricola
4553363,19720,Rilaena triangularis
2165052,19590,Xysticus cristatus
2183465,19338,Dermacentor variabilis
4549649,19217,Trichouropoda sociata
2160943,19028,Agalenatea redii
2136031,18981,Oedothorax fuscus
5170066,18874,Pachygnatha clercki
5168969,18596,Scytodes thoracica
2139331,18446,Dysdera crocata
2182727,17829,Ixodes scapularis
7785418,17554,Agyneta rurestris
10670284,17453,Trichonephila clavata
2146072,17031,Pardosa prativaga
2136609,16697,Linyphia triangularis
2178540,16296,Peucetia viridans
2151859,16127,Tetragnatha extensa
2169069,16079,Menemerus semilimbatus
2157942,15776,Latrodectus hesperus
2158881,15769,Neoscona oaxacensis
2172846,15745,Evarcha arcuata
2136050,15598,Oedothorax apicatus
2139576,15314,Agelena labyrinthica
2157944,15249,Latrodectus geometricus
2159209,14922,Larinioides sclopetarius
2159658,14829,Zygiella x-notata
5174242,14786,Ixodes pacificus
2159593,14357,Micrathena gracilis
2147079,14328,Rabidosa rabida
2135962,13980,Tenuiphantes flavipes
4553472,13891,Leiobunum rotundum
2165401,13773,Diaea dorsata
4553336,13743,Paroligolophus agrestis
5169527,13645,Philodromus dispar
2136022,13478,Oedothorax retusus
2134854,13400,Microneta viaria
2151597,13397,Metellina segmentata
2157402,13329,Parasteatoda tepidariorum
7783291,13296,Eratigena atrica
2161221,13139,Zora spinimana
2146739,13077,Pirata piraticus
2146584,12882,Hogna radiata
8202521,12873,Piratula latitans
2159474,12805,Aculepeira ceropegia
2144994,12743,Nigma walckenaeri
2194313,12704,Atropacarus striculus
2137387,12694,Neriene clathrata
2155895,12579,Robertus lividus
2133637,12458,Haplodrassus signifer
2149679,12402,Holocnemus pluchei
2161872,12226,Micrommata virescens
2148794,12098,Phrurolithus festivus
2176858,12013,Philaeus chrysops
2135973,11908,Tenuiphantes zimmermanni
2166830,11832,Ebrechtella tricuspidata
2157233,11785,Steatoda bipunctata
2162903,11734,Zodarion italicum
2147434,11710,Alopecosa cuneata
2150955,11700,Dolomedes fimbriatus
4553538,11624,Oligolophus tridens
2165357,11543,Xysticus kochi
6913497,11511,Eriophyes tiliae
2158202,11422,Cyclosa conica
4542088,11375,Arrenurus crassicaudatus
2172729,11282,Evarcha falcata
2151598,11256,Metellina mengei
5169122,11220,Aulonia albimana
2177101,11189,Anasaitis canosa
9741766,11135,Pardosa agrestis
2135969,11118,Tenuiphantes mengei
2161710,11022,Heteropoda venatoria
4549763,10900,Trachytes irenae
2138546,10851,Centromerus sylvaticus
2141379,10765,Coelotes terrestris
4553482,10717,Leiobunum blackwalli
2158870,10704,Neoscona arabesca
2150962,10548,Dolomedes triton
2165228,10395,Xysticus ulmi
2171214,10390,Plexippus paykulli
2151599,10371,Metellina merianae
7455866,10128,Centruroides vittatus
2132839,10111,Herpyllus ecclesiasticus
5172110,9990,Euophrys frontalis
2160521,9924,Verrucosa arenata
2139587,9816,Textrix denticulata
4541997,9695,Arrenurus globator
2183597,9531,Rhipicephalus sanguineus
2146194,9439,Pardosa nigriceps
5170966,9363,Zilla diodia
2174528,9321,Saitis barbipes
8254648,9290,Nemastoma bimaculatum
2151783,9283,Tetragnatha montana
2171923,9255,Heliophanus cupreus
2179068,9189,Argyroneta aquatica
2146075,9178,Pardosa saltans
2168060,9164,Lyssomanes viridis
2194757,9143,Steganacarus carinatus
2135191,9121,Pocadicnemis pumila
2175137,9111,Paraphidippus aurantius
9805173,9101,Tibellus oblongus
2138039,9013,Macrargus rufus
2144290,9008,Clubiona comta
2151576,9002,Leucauge argyrobapta
2137289,8998,Gnathonarium dentatum
7838289,8998,Maratus griseus
2177741,8945,Hasarius adansoni
9408800,8853,Piratula uliginosa
2180714,8835,Limnesia undulata
2156268,8811,Neottiura bimaculata
10838706,8788,Oodinychus karawaiewi
2158384,8770,Araniella cucurbitina
4549303,8770,Macrocheles merdarius
2158851,8739,Neoscona adianta
2170221,8716,Ballus chalybeius
2135263,8581,Micrargus herbigradus
2137370,8545,Neriene radiata
2146103,8437,Pardosa moesta
2135758,8422,Palliduphantes pallidus
5173576,8404,Eris militaris
5171006,8398,Argiope keyserlingi
2146311,8396,Pardosa hortensis
10107295,8394,Aelurillus v-insignitus
2155831,8357,Paidiscura pallens
2133054,8296,Drassyllus pusillus
5171231,8242,Cyrtophora citricola
2136309,8102,Microlinyphia pusilla
2167112,8061,Misumenoides formosipes
6894249,7979,Centruroides infamatus
2147274,7970,Xerolycosa nemoralis
2135968,7940,Tenuiphantes tenebricola
2135460,7904,Tiso vagans
2142065,7885,Antistea elegans
2196782,7840,Oppiella nova
2146011,7829,Pardosa sphagnicola
2165513,7818,Runcinia grammica
4541987,7806,Arrenurus sinuator
2194655,7797,Phthiracarus longulus
