species_key,occurrence_count,scientific_name
9510564,29331932,Turdus migratorius
9761484,29185167,Anas platyrhynchos
2482507,29049756,Corvus brachyrhynchos
9809229,27911220,Sturnus vulgaris
2495347,27283211,Zenaida macroura
2490384,27136852,Cardinalis cardinalis
5231190,25461486,Passer domesticus
2482593,24059787,Cyanocitta cristata
5232437,23114752,Branta canadensis
2492196,22420713,Melospiza melodia
9409198,21062070,Agelaius phoeniceus
5231640,20271999,Spinus tristis
8323485,19175017,Haemorhous mexicanus
9149595,19040247,Dryobates pubescens
2487805,18753357,Poecile atricapillus
2481930,17600801,Cathartes aura
9515886,17226934,Hirundo rustica
2478106,15422342,Melanerpes carolinus
2495414,15357990,Columba livia
2478259,14999350,Colaptes auratus
9362842,14811705,Junco hyemalis
2484892,14309465,Sitta carolinensis
9630752,14136792,Ardea herodias
9705453,13469341,Parus major
2487887,13277043,Baeolophus bicolor
2490719,12938507,Turdus merula
2493801,12898791,Thryothorus ludovicianus
9752617,12715247,Ardea alba
2480542,12416074,Buteo jamaicensis
7341805,12342174,Setophaga coronata
2484155,12339717,Quiscalus quiscula
2482492,12168846,Corvus corax
5231677,11805032,Mimus polyglottos
2481134,11202365,Larus delawarensis
2487879,10799804,Cyanistes caeruleus
2492462,10553133,Erithacus rubecula
2481875,10517540,Phalacrocorax auritus
2494422,9945719,Fringilla coelebs
2480320,9869044,Charadrius vociferus
5231140,9621193,Zonotrichia albicollis
2495696,9511411,Streptopelia decaocto
2494936,9399545,Dumetella carolinensis
2495455,9058721,Columba palumbus
2492109,8977838,Spizella passerina
2487844,8629679,Poecile carolinensis
2489670,8518843,Geothlypis trichas
2484391,8413741,Molothrus ater
2489181,8325756,Tachycineta bicolor
2490941,8060063,Sialia sialis
5229490,7884429,Pica pica
2480726,7790955,Pandion haliaetus
2480446,7763464,Haliaeetus leucocephalus
9797180,7585706,Ardea cinerea
9192501,7526122,Leuconotopicus villosus
2484597,7502062,Regulus calendula
8214667,7431096,Anas crecca
2480537,7357054,Buteo buteo
2483606,7242520,Sayornis phoebe
2484609,7236152,Bombycilla cedrorum
7341834,7054274,Setophaga petechia
2475472,7035742,Megaceryle alcyon
4848480,6887987,Larus smithsonianus
2481174,6858743,Larus fuscus
2493091,6853021,Phylloscopus collybita
9362027,6770942,Mareca strepera
9687165,6682111,Motacilla alba
5231132,6678720,Zonotrichia leucophrys
6065824,6620783,Chroicocephalus ridibundus
5231459,6600424,Troglodytes aedon
2498343,6534639,Cygnus olor
2481890,6530568,Phalacrocorax carbo
5845582,6454205,Chloris chloris
2481942,6444298,Coragyps atratus
8332393,6401176,Spatula clypeata
2481139,6301858,Larus argentatus
2492956,6256219,Sylvia atricapilla
2494686,6232029,Carduelis carduelis
2474393,6030189,Fulica americana
5228199,5953988,Gallinula chloropus
9685907,5928949,Falco sparverius
2487430,5909472,Vireo olivaceus
2498326,5824326,Bucephala clangula
2484879,5792032,Sitta canadensis
5231438,5703837,Troglodytes troglodytes
2474377,5675639,Fulica atra
9616058,5608378,Falco tinnunculus
9537647,5577466,Mergus merganser
9409796,5534665,Corvus corone
2487596,5507231,Polioptila caerulea
2491205,5389816,Pipilo erythrophthalmus
5228824,5363658,Dryocopus pileatus
2498329,5177802,Bucephala albeola
2477968,5142512,Dendrocopos major
2482077,5134378,Podilymbus podiceps
2480487,5054665,Circus cyaneus
2480529,5045989,Buteo lineatus
2498387,5007896,Aix sponsa
2481172,4978766,Larus marinus
2493052,4978523,Phylloscopus trochilus
9709230,4807321,Pipilo maculatus
2476674,4779284,Calypte anna
2480873,4735799,Egretta thula
2498036,4664190,Anser anser
6100954,4598065,Coloeus monedula
5228514,4589666,Archilochus colubris
7901064,4419884,Turdus philomelos
2480242,4302770,Vanellus vanellus
2484340,4288186,Icterus galbula
5231647,4242912,Spinus psaltria
5231198,4184097,Passer montanus
5229493,4168502,Garrulus glandarius
5231142,4151014,Passerculus sandwichensis
2482515,4140272,Corvus cornix
5229688,4127706,Tyrannus tyrannus
2489985,4100627,Setophaga ruticilla
2490327,3980063,Passerina cyanea
4409023,3890669,Chaetura pelagica
2498375,3869254,Mergus serrator
2484596,3863244,Regulus regulus
5229734,3818228,Contopus virens
5231763,3817567,Prunella modularis
2498261,3806959,Aythya fuligula
7788295,3777771,Haematopus ostralegus
9476062,3773916,Quiscalus mexicanus
2483612,3759797,Sayornis nigricans
2480876,3756451,Egretta garzetta
2484591,3748905,Regulus satrapa
2483597,3719933,Myiarchus crinitus
2481798,3694649,Actitis macularius
5231635,3626037,Spinus pinus
2498155,3618675,Mareca americana
9479809,3612955,Toxostoma rufum
2498112,3602929,Anas acuta
2480830,3602883,Bubulcus ibis
2484916,3582525,Sitta europaea
2487446,3558169,Vireo gilvus
8077224,3554330,Alauda arvensis
2482054,3542299,Podiceps cristatus
2491557,3505610,Emberiza schoeniclus
2489613,3465172,Mniotilta varia
2482481,3454374,Corvus ossifragus
2498264,3444529,Aythya collaris
2489005,3441387,Acridotheres tristis
2490810,3433041,Catharus guttatus
9539567,3362488,Butorides virescens
2493843,3359020,Thryomanes bewickii
2481759,3355147,Calidris alpina
2492235,3331557,Melospiza georgiana
2481720,3327854,Tringa melanoleuca
9752149,3316420,Phasianus colchicus
2491534,3315592,Emberiza citrinella
2498408,3312294,Lophodytes cucullatus
2495370,3294689,Zenaida asiatica
2490266,3276352,Anthus pratensis
7982160,3258797,Larus canus
2480482,3255521,Circus aeruginosus
5231630,3244354,Acanthis flammea
2489202,3235622,Stelgidopteryx serripennis
6065844,3206791,Leucophaeus atricilla
2481962,3199619,Gavia immer
2480863,3105258,Nycticorax nycticorax
6092830,3067846,Spinus spinus
9422220,3048170,Spatula discors
6093345,3018433,Setophaga americana
2498305,3007004,Oxyura jamaicensis
2492096,2994874,Spizella pusilla
2482048,2994252,Tachybaptus ruficollis
5228676,2988154,Apus apus
8169649,2980997,Leiothlypis celata
9581157,2966872,Certhia americana
9367409,2966402,Sterna hirundo
7341816,2956046,Setophaga pinus
8104397,2940620,Linaria cannabina
7804446,2918040,Haemorhous purpureus
2490737,2912080,Turdus pilaris
2482414,2911133,Aphelocoma californica
2493118,2907771,Acrocephalus scirpaceus
5229158,2893215,Pelecanus occidentalis
2480637,2858281,Accipiter nisus
7341822,2857080,Setophaga palmarum
2494543,2824831,Pyrrhula pyrrhula
2481745,2818101,Calidris minutilla
8000602,2816649,Mareca penelope
9606290,2813789,Meleagris gallopavo
2481047,2804280,Falco peregrinus
