species_key,occurrence_count,scientific_name
8215487,4493868,Salmo trutta
8084280,2575220,Gadus morhua
4284072,1965411,Clupea pallasii
7595433,1450621,Salmo salar
2359706,1406896,Rutilus rutilus
5212973,1075150,Anguilla anguilla
4409653,1061725,Phoxinus phoxinus
8351946,1027186,Clupea harengus
8140485,1013591,Perca fluviatilis
2415822,990650,Melanogrammus aeglefinus
4409628,964319,Gobio gobio
2365685,931100,Squalius cephalus
2333785,859096,Myoxocephalus scorpius
7807208,734350,Cottus gobio
5204862,699530,Barbatula barbatula
2346633,686718,Esox lucius
2415788,606697,Merlangius merlangus
2413452,591647,Sprattus sprattus
7700106,571467,Pleuronectes platessa
2409104,510289,Hippoglossoides platessoides
5213960,509166,Limanda limanda
4284021,472553,Salvelinus alpinus
2362925,468645,Alburnus alburnus
2333802,448400,Myoxocephalus octodecemspinosus
9809222,412399,Abramis brama
2415637,401289,Merluccius bilinearis
2418684,389966,Scyliorhinus canicula
2356612,371833,Beryx splendens
5216368,371399,Squalus acanthias
2357093,362878,Hoplostethus atlanticus
2409330,338298,Platichthys flesus
5209574,325672,Gymnocephalus cernua
2415643,296559,Merluccius merluccius
5739539,287471,Barbus barbus
4286975,276501,Cyprinus carpio
2374149,268341,Scomber scombrus
5204019,256100,Oncorhynchus mykiss
2336597,254841,Eutrigla gurnardus
2362635,252350,Scardinius erythrophthalmus
5210473,237151,Trachurus trachurus
2415460,234395,Lota lota
2360305,228164,Alburnoides bipunctatus
2417981,226794,Carcharhinus melanopterus
2415631,220676,Merluccius gayi
2418064,218785,Carcharhinus amblyrhynchos
2413931,217041,Anchoa mitchilli
4286327,212693,Gasterosteus aculeatus
5204024,205790,Oncorhynchus tshawytscha
2359471,202979,Blicca bjoerkna
2394486,200034,Lepomis gibbosus
5213953,198918,Limanda ferruginea
2362524,197519,Tinca tinca
2400598,195970,Mugil incilis
5204039,191305,Oncorhynchus nerka
5210470,191296,Trachurus murphyi
2415906,191191,Trisopterus minutus
5204034,189718,Oncorhynchus kisutch
4409641,185800,Leuciscus leuciscus
2409091,185483,Atheresthes stomias
5214001,182928,Glyptocephalus zachirus
5214139,182560,Solea solea
