species_key,occurrence_count,scientific_name
8168319,273447,Amanita muscaria
5260693,218085,Lobaria pulmonaria
8197849,201828,Xanthoria parietina
11022230,183423,Alectoria sarmentosa
2548311,158118,Trametes versicolor
8068867,149130,Fomes fomentarius
9819973,145615,Fomitopsis betulina
2542395,133244,Fomitopsis pinicola
7987658,126548,Coprinus comatus
2605963,126058,Parmelia sulcata
9072021,102641,Laetiporus sulphureus
5255147,98486,Xylaria hypoxylon
7247635,98164,Hypogymnia physodes
7496350,94899,Amanita rubescens
5241128,94597,Schizophyllum commune
2605261,90384,Evernia prunastri
3293632,89545,Hypholoma fasciculare
2520051,86758,Phellinidium ferrugineofuscum
2553128,86402,Stereum hirsutum
2530983,81191,Laccaria amethystina
9739824,80595,Saitozyma podzolica
2607712,79133,Cladonia stellaris
5249271,78331,Auricularia auricula-judae
9134585,77446,Calocera viscosa
7251037,76778,Physcia adscendens
2601143,73700,Peltigera aphthosa
12030173,73642,Podila humilis
2601181,73307,Nephroma arcticum
7832732,72395,Imleria badia
2606178,72104,Flavoparmelia caperata
10990852,69660,Lecidella elaeochroma
5243258,68594,Lycoperdon perlatum
5954958,67292,Boletus edulis
9035469,66632,Porodaedalea pini
5239982,66267,Scleroderma citrinum
7765582,65038,Amanita fulva
2608167,63596,Ramalina farinacea
5249504,62306,Cantharellus cibarius
8622852,62009,Protoparmeliopsis muralis
10852503,61599,Apioperdon pyriforme
2547092,60961,Cerioporus squamosus
2530926,59298,Laccaria laccata
9755839,58789,Solicoccozyma terricola
8179389,57994,Rhodofomes roseus
2542126,57580,Phaeolus schweinitzii
7847785,57434,Lecanactis abietina
2538524,56912,Hygrocybe conica
7246646,56261,Cladonia furcata
3314876,55835,Phallus impudicus
11945016,55626,Tremella mesenterica
2545670,54893,Daedaleopsis confragosa
2531072,54882,Clitocybe nebularis
2606780,54161,Lecanora chlarotera
9208081,53367,Trametes gibbosa
8690832,52644,Trichaptum abietinum
3390030,52380,Cladonia portentosa
8914748,52303,Macrolepiota procera
3330851,50259,Inocybe geophylla
2608278,50221,Bacidia rubella
2609145,50155,Phaeophyscia orbicularis
2520148,49882,Phellinus chrysoloma
2549834,49720,Ganoderma applanatum
2605955,49443,Parmelia saxatilis
2543824,48468,Bjerkandera adusta
2608944,48467,Physcia tenella
3328320,48031,Amanita citrina
8620875,47771,Phlyctis argena
7249709,47216,Graphis scripta
2522229,47070,Hydnellum ferrugineum
2608477,46840,Lepraria incana
10116551,45682,Lobarina scrobiculata
7446067,45656,Pluteus cervinus
2544300,45634,Phlebia tremellosa
2605342,45411,Platismatia glauca
2526880,45216,Mycena galericulata
