species_key,occurrence_count,scientific_name
2226639,771085,Chionoecetes opilio
2222356,731490,Pandalus jordani
5178343,450768,Heterocarpus reedi
2222188,449665,Crangon crangon
5972004,421922,Homarus americanus
11714155,375141,Grimothea monodon
11619882,365753,Grimothea johni
2222443,333460,Pandalus dispar
2221647,281236,Panulirus interruptus
2226672,245223,Pugettia producta
2226751,239376,Loxorhynchus grandis
2226675,234921,Pugettia richii
5178279,227875,Jasus edwardsii
2222353,224252,Pandalus eous
2225646,215069,Callinectes sapidus
8207272,194102,Pugettia foliata
5178595,182237,Carcinus maenas
2223834,166734,Penaeus notialis
2203611,134015,Armadillidium vulgare
6284337,130568,Porcellio scaber
2225648,130429,Callinectes bocourti
2224363,120654,Cryptolithodes sitchensis
2222085,110415,Cancer pagurus
2226990,109193,Pacifastacus leniusculus
2226962,106781,Nephrops norvegicus
2225596,101695,Liocarcinus holsatus
2228010,97888,Euphausia superba
2224231,90739,Pagurus bernhardus
5176315,89893,Oniscus asellus
2206247,89331,Asellus aquaticus
2223840,85559,Penaeus aztecus
2223875,78556,Penaeus setiferus
2217982,77878,Crangonyx pseudogracilis
9736038,77532,Necora puber
2227300,77294,Procambarus clarkii
2226657,70088,Taliepus nuttallii
2223847,69583,Penaeus duorarum
2209507,64583,Philoscia muscorum
4312658,63999,Austropotamobius pallipes
2225776,62936,Eriocheir sinensis
2222375,60554,Pandalus danae
2225642,59328,Callinectes similis
2224374,58419,Lopholithodes mandtii
5178356,57774,Pisidia longicornis
8909595,57440,Faxonius limosus
2224452,56650,Clibanarius vittatus
5716791,55512,Diogenes pugilator
5716132,54100,Corystes cassivelaunus
2223877,49100,Penaeus schmitti
4307437,49068,Portumnus latipes
5863764,42909,Metacarcinus magister
5178289,42634,Thia scutellata
2223527,42567,Parapenaeus longirostris
4307257,41631,Liocarcinus navigator
2217320,40483,Corophium volutator
2225772,40158,Hemigrapsus sanguineus
2222075,38601,Cancer irroratus
5178756,35268,Menippe adina
2226978,34903,Metanephrops challengeri
2227665,34406,Dyspanopeus texanus
4382841,34124,Hemigrapsus takanoi
2222361,32281,Pandalus hypsinotus
2216117,31958,Monoporeia affinis
5175681,30855,Saduria entomon
2226435,30369,Tozeuma carolinense
2224243,29960,Pagurus pollicaris
2222359,29467,Pandalus platyceros
2227993,29063,Thysanoessa macrura
2214489,27482,Diastylis rathkei
2222084,26490,Cancer borealis
2219853,25860,Gammarus pulex
2217253,24163,Harpinia antennaria
5729741,24098,Maja brachydactyla
2219863,24013,Gammarus tigrinus
2219446,23780,Ampelisca brevicornis
2219387,22383,Ampelisca tenuicornis
5177524,22207,Eriopisa elongata
2226734,22184,Libinia dubia
2216088,21776,Urothoe elegans
2225812,21735,Pachygrapsus crassipes
6284504,21710,Porcellio spinicornis
9577510,20126,Liocarcinus depurator
2209087,20010,Trachelipus rathkii
2203739,19947,Armadillidium nasatum
2207872,19536,Trichoniscus pusillus
2216112,19442,Bathyporeia elegans
2226649,19387,Hyas coarctatus
2224197,18664,Pagurus longicarpus
2218827,18426,Westwoodilla caecula
2226648,17810,Hyas araneus
2218911,16779,Perioculodes longimanus
2222709,16681,Petrolisthes armatus
5178690,16584,Maja squinado
5176195,16510,Idotea balthica
