species_key,occurrence_count,scientific_name
5218465,3207210,Pipistrellus pipistrellus
5220126,2235290,Capreolus capreolus
5219243,1711917,Vulpes vulpes
5219858,1152655,Ondatra zibethicus
7705930,1098503,Sus scrofa
2434814,1096809,Mirounga leonina
7952072,1018495,Lepus europaeus
8211070,880993,Sciurus vulgaris
5219616,854619,Erinaceus europaeus
2436940,715425,Oryctolagus cuniculus
2440958,589924,Cervus elaphus
5219681,566623,Sciurus carolinensis
2440149,500234,Wallabia bicolor
5220086,477223,Megaptera novaeangliae
2433875,452316,Meles meles
5707150,426724,Pipistrellus pygmaeus
2441022,421890,Bos taurus
2434784,387087,Leptonychotes weddellii
7872906,378163,Talpa europaea
2434806,363333,Halichoerus grypus
2439261,344255,Rattus norvegicus
2434793,319217,Phoca vitulina
5220170,318746,Rupicapra rupicapra
5218522,315299,Nyctalus leisleri
5218524,311014,Nyctalus noctula
2440669,306698,Phocoena phocoena
4409131,305142,Castor fiber
2433753,294748,Lutra lutra
2440718,288328,Balaenoptera physalus
2440012,287595,Phascolarctos cinereus
2440965,284753,Odocoileus virginianus
2440254,278162,Trichosurus vulpecula
2432439,273219,Myotis daubentonii
2440728,261526,Balaenoptera acutorostrata
2437967,250017,Peromyscus maniculatus
2433472,238507,Arctocephalus gazella
5219981,210595,Macropus giganteus
5220136,194770,Dama dama
7429082,193964,Mus musculus
2432359,193350,Eptesicus serotinus
5706764,186689,Myodes glareolus
5219173,179683,Canis lupus
2435035,174908,Felis catus
2440447,173720,Tursiops truncatus
2437760,168340,Apodemus sylvaticus
5218786,160817,Procyon lotor
4264680,160304,Myocastor coypus
5218887,159658,Martes foina
2441110,155570,Ovis aries
2434762,153055,Lobodon carcinophaga
5218471,149268,Pipistrellus nathusii
2441055,147282,Capra ibex
2440940,136309,Alces alces
2439233,134200,Rattus fuscipes
2440062,133588,Pseudocheirus peregrinus
8324617,132092,Delphinus delphis
2440946,126362,Muntiacus reevesi
5219460,125520,Macrotis lagotis
2440974,123707,Odocoileus hemionus
2432582,123624,Barbastella barbastellus
7261816,123448,Eptesicus nilssonii
2440301,122406,Vombatus ursinus
8123917,120621,Physeter macrocephalus
5218878,119921,Martes martes
2433484,117418,Neophoca cinerea
2436886,117380,Sylvilagus floridanus
8316400,116223,Sorex araneus
5218507,115821,Plecotus auritus
5219019,114168,Mustela erminea
5220154,114157,Gazella gazella
2439270,113367,Rattus rattus
4265185,111314,Arvicola amphibius
5219683,110638,Sciurus niger
2432389,110106,Myotis nattereri
2437377,107523,Marmota marmota
2433378,103671,Tachyglossus aculeatus
5219840,101484,Lemmus lemmus
5218911,100004,Mustela putorius
9754263,99544,Myotis mystacinus
5218655,98429,Pteropus poliocephalus
2441054,97288,Capra pyrenaica
2432655,96499,Rhinolophus ferrumequinum
5219965,96497,Macropus fuliginosus
9589697,94978,Notamacropus rufogriseus
2436756,94081,Lepus timidus
2437258,93504,Pteromys volans
2439658,92586,Muscardinus avellanarius
5219153,90034,Canis latrans
2439838,88158,Castor canadensis
2435240,87880,Lynx lynx
2435246,86745,Lynx rufus
2438019,86541,Peromyscus leucopus
2441056,85825,Capra hircus
2440886,84301,Equus caballus
2437282,82069,Tamiasciurus hudsonicus
2432416,81380,Myotis myotis
5218987,80333,Mustela nivalis
5219963,80027,Macropus rufus
2437438,78745,Tamias striatus
5218823,77589,Mustela vison
2432614,69641,Rhinolophus hipposideros
2432470,68414,Myotis emarginatus
2437756,67255,Apodemus flavicollis
2438616,67178,Microtus agrestis
5219970,64813,Macropus robustus
5219219,64794,Canis aureus
2435654,64765,Crocidura russula
2440152,64309,Onychogalea fraenata
7571319,63244,Sorex minutus
5220114,62023,Rangifer tarandus
5220190,62002,Lama glama
7964291,61814,Felis silvestris
2437576,60632,Dasyprocta punctata
2438606,57933,Microtus arvalis
2438655,55215,Microtus pennsylvanicus
2434340,54909,Lycalopex culpaeus
2440931,53446,Hydropotes inermis
7261386,52595,Rusa unicolor
2440403,52481,Mesoplodon densirostris
7261861,51878,Hypsugo savii
2439923,50708,Didelphis virginiana
5220171,50554,Rupicapra pyrenaica
2434552,50426,Nyctereutes procyonoides
2435304,48482,Isoodon macrourus
5219362,48111,Genetta genetta
2433407,47852,Ursus americanus
5219457,47366,Perameles nasuta
2433433,46462,Ursus arctos
5219073,44789,Gulo gulo
8080937,43376,Otospermophilus beecheyi
4266261,42868,Vespadelus vulturnus
2440068,42654,Petauroides volans
5739437,41792,Plecotus austriacus
2432284,41621,Chalinolobus gouldii
2435964,41023,Sorex cinereus
2440043,40706,Petaurus breviceps
2433474,40538,Arctocephalus forsteri
2432427,40495,Myotis bechsteinii
5220027,39829,Grampus griseus
5706762,39757,Myodes rutilus
5220055,39499,Stenella coeruleoalba
5219989,38298,Macropus eugenii
2436910,38152,Sylvilagus audubonii
5218464,38014,Pipistrellus kuhlii
2439521,37977,Dipodomys merriami
2435296,37755,Trichechus manatus
2438635,37699,Microtus oeconomus
2433458,37584,Zalophus californianus
2437368,37524,Marmota monax
5219975,36777,Macropus agilis
2436736,36444,Lepus capensis
2438147,36244,Sigmodon hispidus
5706760,35911,Myodes gapperi
2433467,35854,Phocarctos hookeri
2435451,35819,Sarcophilus harrisii
2440995,35325,Pecari tajacu
5219833,34728,Micromys minutus
2439385,34021,Thomomys bottae
2435369,33518,Antechinus agilis
2435370,33383,Antechinus stuartii
5219380,33083,Mephitis mephitis
2440483,32525,Orcinus orca
2433176,32204,Carollia perspicillata
2440704,32027,Eschrichtius robustus
2436436,31491,Homo sapiens
5220149,31040,Gazella dorcas
5220045,30687,Stenella frontalis
2434982,30452,Leopardus pardalis
5219980,30228,Macropus dorsalis
2434566,30152,Urocyon cinereoargenteus
2433011,29768,Tadarida brasiliensis
9729967,29452,Dugong dugon
2435862,29431,Blarina brevicauda
4263039,29191,Cuniculus paca
2440735,29114,Balaenoptera musculus
2440050,28819,Petaurus australis
2439920,28375,Didelphis marsupialis
2433009,28273,Tadarida teniotis
2440596,27159,Globicephala melas
2437761,26626,Apodemus agrarius
2438038,26121,Peromyscus boylii
2437874,25955,Reithrodontomys megalotis
2439683,25728,Eliomys quercinus
9796816,25625,Miniopterus schreibersii
2439541,25619,Dipodomys ordii
5219369,25588,Pusa hispida
2435767,25148,Neomys fodiens
2433272,25035,Artibeus jamaicensis
2438793,24552,Mus spretus
2433475,24468,Arctocephalus pusillus
5218819,24039,Odobenus rosmarus
2440332,23700,Eubalaena australis
7593288,23689,Callospermophilus lateralis
2433376,23514,Ornithorhynchus anatinus
2440779,23412,Dasypus novemcinctus
2438911,23262,Mastomys natalensis
2437981,23242,Peromyscus eremicus
2441176,23167,Bison bison
2432519,23017,Nyctophilus geoffroyi
5706486,22936,Glis glis
2440023,22851,Bettongia lesueur
2433727,22832,Lontra canadensis
2440255,22696,Trichosurus cunninghami
5786666,22318,Hydrochoerus hydrochaeris
2436794,22155,Lepus americanus
2432295,22048,Chalinolobus morio
2440019,22010,Potorous tridactylus
2433270,21937,Artibeus lituratus
2433670,21934,Enhydra lutris
6066824,21926,Erethizon dorsatus
2436019,21607,Sorex monticolus
2432430,21568,Myotis capaccinii
5219303,21525,Vulpes lagopus
2437985,21300,Peromyscus truei
