species_key,occurrence_count,scientific_name
2293078,293549,Haliotis rufescens
2293185,257863,Megastraea undosa
2304727,252974,Kelletia kelletii
2293082,251356,Haliotis kamtschatkana
2293441,251139,Megathura crenulata
2285940,249764,Crassadoma gigantea
2293073,247946,Haliotis fulgens
2293069,247779,Haliotis corrugata
5856681,246688,Neobernaya spadicea
5191261,246565,Aplysia californica
6514733,238888,Pomaulax gibberosus
8288896,216427,Mytilus edulis
5858758,211530,Cornu aspersum
2293079,210566,Haliotis walallensis
2293077,210297,Haliotis cracherodii
2294287,208624,Helix pomatia
2294280,203202,Cepaea nemoralis
2286995,189800,Macoma balthica
5192470,175327,Potamopyrgus antipodarum
2293070,141536,Haliotis sorenseni
4361879,121272,Peringia ulvae
5191259,115484,Aplysia vaccaria
7791733,104380,Mya arenaria
5189061,102618,Abra alba
4371646,101595,Kurtiella bidentata
5193418,98027,Ceratostoma foliatum
2286583,96680,Cerastoderma edule
2295438,86927,Limax maximus
5778937,85101,Arianta arbustorum
5188986,82905,Spisula subtruncata
2288891,80336,Varicorbula gibba
2292826,77842,Tegula regina
5192789,74012,Crepidula fornicata
2285681,73325,Mytilus trossulus
2294279,73080,Cepaea hortensis
9991201,70294,Ampullaceana balthica
4362875,68490,Cerithium echinatum
5193451,66514,Nucella lamellosa
2286847,61666,Fabulina fabula
2294144,60133,Discus rotundatus
8190231,59324,Corbicula fluminea
2295977,58946,Cochlicopa lubrica
2291253,58579,Lymnaea stagnalis
4372852,57193,Chamelea striatula
7820753,57059,Magallana gigas
2287557,55750,Thyasira flexuosa
5192503,55373,Euspira catena
8485639,53865,Ensis leei
2301117,53775,Littorina littorea
2285952,53262,Placopecten magellanicus
4372735,52240,Venerupis corrugata
2299854,51544,Bithynia tentaculata
5189057,51316,Abra nitida
2287615,51244,Petricolaria pholadiformis
8761891,49962,Macomangulus tenuis
2305073,48827,Buccinum undatum
4565039,48801,Hygromia cinctella
7363930,48649,Trochulus hispidus
5189106,48639,Donax vittatus
5781277,48115,Deroceras reticulatum
2286383,46485,Mactra stultorum
9371518,46373,Perpolita hammonis
6519876,45438,Doris montereyensis
2297206,44846,Succinea putris
2292241,44649,Hermissenda crassicornis
4304721,44525,Euconulus fulvus
2286416,44045,Lutraria lutraria
5189341,43436,Arctica islandica
5193449,42954,Nucella lapillus
2291444,42802,Theodoxus fluviatilis
5188981,42700,Spisula solida
2292473,42164,Diaulula sandiegensis
4568278,41675,Punctum pygmaeum
7865139,40528,Mya truncata
5859645,40395,Peltodoris nobilis
2291515,39311,Navanax inermis
2291810,39232,Triopha catalinae
2294103,39193,Arion rufus
2294290,39078,Vitrina pellucida
2291886,38936,Dirona albolineata
2286130,38605,Pododesmus macrochisma
4571002,38352,Clausilia bidentata
2292449,38249,Doriopsilla albopunctata
2291765,38040,Polycera atra
2292277,37936,Flabellinopsis iodinea
2287245,37342,Phaxas pellucidus
2285838,37184,Aequipecten opercularis
2292109,37076,Acanthodoris rhodoceras
2291881,36909,Antiopella barbarensis
2293326,36736,Calliostoma annulatum
5190102,36696,Tritonia festiva
2292401,36683,Cadlina flavomaculata
2292105,36551,Acanthodoris lutea
6519389,36469,Felimare californiensis
2292406,36382,Cadlina luteomarginata
5189806,36327,Physella acuta
2302634,36222,Tylodina fungina
9464984,36198,Apata pricei
5189830,35968,Ancylus fluviatilis
6519432,35929,Felimida macfarlandi
2291768,35674,Polycera tricolor
2292475,35618,Baptodoris mimetica
2292400,35573,Cadlina limbaughorum
6519372,35526,Felimare porterae
2292453,35525,Jorunna pardus
2302618,35524,Berthella californica
6519108,35520,Peltodoris mullineri
6519920,35514,Doriopsilla spaldingi
2287072,35372,Dreissena polymorpha
2294090,35333,Ariolimax columbianus
4568872,35149,Cochlodina laminata
2288763,34916,Barnea candida
2286585,34722,Cerastoderma glaucum
2294101,33015,Arion ater
2294277,32754,Theba pisana
10999086,32709,Papillicardium minimum
2287622,32656,Timoclea ovata
2285597,32418,Ennucula tenuis
2287251,32190,Ensis minor
2290946,31771,Planorbarius corneus
2285577,31741,Nucula nitidosa
5727892,31530,Tritia reticulata
7911174,31497,Margaritifera margaritifera
4562141,31105,Anisus vortex
7540164,30107,Arion vulgaris
2298076,29837,Valvata piscinalis
2287256,29391,Ensis magnus
8298325,29119,Planorbis planorbis
5725465,28999,Euspira nitida
4562206,28492,Gyraulus albus
5190391,28367,Patella vulgata
2291593,28331,Cylichna cylindracea
9519993,27833,Parathyasira equalis
5189062,27796,Scrobicularia plana
2286709,27660,Sphaerium corneum
9514986,27458,Steromphala cineraria
2287526,27355,Mendicula ferruginosa
2293333,27066,Calliostoma zizyphinum
2294102,26495,Arion fasciatus
2287248,25932,Ensis ensis
7568032,25920,Physa fontinalis
8790531,25837,Lissachatina fulica
5189537,25726,Hiatella arctica
4567609,25716,Limax cinereoniger
2296011,25587,Vallonia costata
2287221,25094,Tellimya ferruginosa
2285334,24774,Pteria sterna
2287572,24458,Thyasira obsoleta
2285980,24355,Pecten maximus
2291063,24281,Carychium tridentatum
2293576,23029,Diodora aspera
8028368,22537,Bathyomphalus contortus
4372625,22489,Tridacna maxima
8014163,22280,Ambigolimax valentianus
10898749,22250,Turritellinella tricarinata
4559631,22090,Anodonta anatina
2286060,22046,Ostrea edulis
5190768,21958,Oxychilus cellarius
4563484,21828,Helicigona lapicida
5781247,21649,Lehmannia marginata
2287446,21274,Lucinoma borealis
7664805,21155,Euglesa casertana
2295422,20931,Zonitoides nitidus
2286328,20726,Kelliella miliaris
5190769,20611,Oxychilus alliarius
5777888,20436,Pomatias elegans
2291336,20342,Galba truncatula
4562554,20134,Aegopinella nitidula
5858882,20128,Fruticicola fruticum
4567205,19711,Vertigo substriata
5189199,19604,Astarte sulcata
5189053,19585,Abra prismatica
8745918,19543,Deroceras invadens
5779438,19465,Arion fuscus
2291066,19370,Carychium minimum
4562571,19301,Aegopinella pura
9805907,19189,Cernuella virgata
7949831,19168,Discus ruderatus
2285680,19167,Mytilus californianus
5190459,19042,Lauria cylindracea
2285656,18629,Modiolus modiolus
4374178,18276,Pecten novaezelandiae
4371541,18270,Axinulus croulinensis
2294129,18171,Rumina decollata
4564494,17983,Monachoides incarnatus
5781046,17955,Columella aspera
4562692,17795,Vitrea crystallina
2294099,17698,Arion subfuscus
2287951,17591,Pyganodon grandis
2293983,17571,Vertigo pygmaea
2285550,17523,Yoldiella lucida
5188971,17468,Rangia cuneata
4566417,17318,Merdigera obscura
2286255,17129,Bathyarca pectunculoides
2300326,17088,Neverita duplicata
4568664,17058,Alinda biplicata
9762031,17036,Actinocyclus octonarius
4949758,16602,Thyasira sarsii
5729090,16551,Abra longicallus
5189532,16543,Panopea generosa
5781358,16538,Deroceras laeve
9758298,16465,Trochulus striolatus
4562139,16392,Segmentina nitida
5781039,16167,Columella edentula
5192499,16085,Euspira montagui
6098953,16009,Oxyloma elegans
2287021,15933,Macoma calcarea
8244906,15751,Nucula tumidula
5189888,15648,Radix auricularia
4567429,15627,Acanthinula aculeata
8360614,15616,Perpolita petronella
5778419,15376,Planorbis carinatus
5189484,15280,Thracia phaseolina
5190466,15102,Pupilla muscorum
4564338,15037,Helicodonta obvoluta
2295442,14964,Limacus flavus
2301066,14814,Littorina obtusata
2294284,14771,Otala lactea
2294096,14747,Arion distinctus
5188985,14661,Spisula elliptica
4562232,14655,Hippeutis complanatus
4372686,14651,Ruditapes philippinarum
4615980,14643,Haliotis rubra
2287705,14598,Chamelea gallina
2296010,14460,Vallonia pulchella
2288334,14358,Elliptio complanata
4372191,14281,Parvicardium pinnulatum
5190767,14142,Oxychilus draparnaudi
5189709,14130,Armiger crista
9471950,14102,Steromphala umbilicalis
5191102,14069,Monacha cantiana
2286717,13946,Musculium lacustre
4358714,13850,Valvata cristata
2294097,13812,Arion intermedius
5858717,13733,Helicella itala
4373480,13698,Mimachlamys varia
7592108,13638,Euglesa nitida
2296007,13592,Vallonia excentrica
9890104,13524,Xeroplexa intersecta
2285541,13441,Yoldiella nana
2285856,13421,Argopecten irradians
4570937,13301,Macrogastra plicatula
4359157,13298,Acroloxus lacustris
2288157,13276,Lampsilis siliquoidea
8542531,13228,Hermissenda opalescens
2294275,13112,Eobania vermiculata
4562917,12895,Cochlicella acuta
5189054,12875,Abra tenuis
5189038,12746,Theora lubrica
4567198,12693,Vertigo pusilla
4562566,12623,Aegopinella nitens
2287972,12578,Amblema plicata
2295355,12539,Vitrea contracta
5780449,12350,Monacha cartusiana
2285583,12206,Nucula nucleus
4569645,12063,Clausilia dubia
4371525,12043,Adontorhina similis
4374774,11955,Anodonta cygnea
2285683,11707,Mytilus galloprovincialis
2286523,11652,Acanthocardia echinata
2287835,11535,Dosinia lupinus
2286079,11524,Crassostrea virginica
2286067,11336,Ostrea lurida
6531618,11305,Mytilaster solisianus
5778354,11300,Stagnicola palustris
4304764,11166,Liguus fasciatus
2291704,11043,Retusa umbilicata
2286388,11040,Mulinia lateralis
2288163,10957,Lampsilis cardium
2286180,10955,Limopsis cristata
4374772,10783,Unio pictorum
4559558,10775,Unio crassus
8336879,10721,Euconulus alderi
8116657,10628,Littorina saxatilis
4361146,10417,Aporrhais pespelecani
8632060,10378,Tritia incrassata
9674819,10358,Cuspidaria lamellosa
9790747,10353,Bittium reticulatum
9551088,10327,Unio tumidus
5189215,10254,Myrtea spinifera
5188891,10211,Chlamys islandica
5856875,10189,Echinolittorina lineolata
4571043,10184,Clausilia rugosa
2285558,10178,Yoldiella philippiana
2286126,10156,Heteranomia squamula
7992320,10134,Phorcus lineatus
2297154,10085,Bradybaena similaris
5193700,10038,Clione limacina
4361870,9989,Ecrobia ventrosa
4567674,9935,Malacolimax tenellus
2286266,9857,Glycymeris glycymeris
10075852,9839,Peregriana labiata
4561827,9615,Cochlostoma septemspirale
7932770,9530,Neverita lewisii
4567215,9433,Vertigo moulinsiana
5192339,9413,Rissoa parva
4567237,9350,Vertigo antivertigo
2288191,9333,Fusconaia flava
9395672,9319,Polymesoda fortis
4566007,9246,Ena montana
5725388,9162,Hyala vitrea
9720489,9161,Cochlicopa lubricella
5728509,9159,Patella pellucida
8023928,9125,Laciniaria plicata
5189174,9117,Astarte montagui
5191263,8975,Aplysia fasciata
2291712,8846,Retusa obtusa
2287837,8836,Dosinia exoleta
5190433,8786,Limacina helicina
2297856,8748,Lottia gigantea
5189374,8681,Quadrula quadrula
2285762,8680,Modiolula phaseolina
2287652,8666,Austrovenus stutchburyi
4374436,8641,Similipecten similis
5191176,8640,Monadenia fidelis
2301175,8564,Lacuna vincta
5188972,8546,Rangia flexuosa
4369953,8496,Testudinalia testudinalis
2286680,8496,Pisidium subtruncatum
10047389,8443,Ariolimax buttoni
7505521,8418,Zebrina detrita
9738098,8386,Cipangopaludina chinensis
2292844,8380,Tegula funebralis
9711668,8368,Tritia nitida
4567017,8368,Abida secale
2286550,8364,Acanthocardia tuberculata
2287249,8325,Ensis directus
9268470,8314,Caucasotachea vindobonensis
10903982,8246,Aliger gigas
8217607,8231,Polititapes rhomboides
4567182,8202,Vertigo angustior
8074459,8201,Hermania scabra
