species_key,occurrence_count,scientific_name
2469188,375386,Podarcis muralis
2442225,248620,Chelonia mydas
9702100,243866,Zootoca vivipara
2468095,230294,Anguis fragilis
8894817,220124,Caretta caretta
2443002,208194,Trachemys scripta
6159223,182756,Lacerta agilis
2457522,147833,Thamnophis sirtalis
2451234,146249,Sceloporus occidentalis
6159243,138793,Lacerta bilineata
5960862,119250,Vipera berus
2443133,114769,Chrysemys picta
6161347,114625,Natrix natrix
9350124,114548,Natrix helvetica
2451029,112961,Uta stansburiana
4287413,104048,Anolis sagrei
2466939,98448,Anolis carolinensis
2441333,98419,Crocodylus porosus
2445034,90568,Tarentola mauritanica
2441905,74681,Chelydra serpentina
2443173,65214,Terrapene carolina
2459658,64771,Iguana iguana
5223334,62215,Nerodia sipedon
2441370,60476,Alligator mississippiensis
8913064,57207,Aspidoscelis tigris
5959617,56423,Coronella austriaca
2453826,56096,Pituophis catenifer
2462503,55236,Tiliqua scincoides
2458916,54734,Hierophis viridiflavus
8909809,54163,Emys orbicularis
2457545,53905,Thamnophis elegans
9789983,52790,Dermochelys coriacea
2468542,48391,Timon lepidus
5221528,46521,Hemidactylus turcicus
2469763,45935,Psammodromus algirus
2447609,44911,Gonatodes albogularis
6161340,44600,Natrix maura
8796529,42967,Malpolon monspessulanus
6161776,42384,Coluber constrictor
9056579,42312,Storeria dekayi
9537238,39604,Hemidactylus frenatus
8763701,39341,Diadophis punctatus
2458538,38940,Zamenis longissimus
2441454,38210,Testudo hermanni
8161292,36807,Intellagama lesueurii
2444339,35599,Vipera aspis
9268496,34365,Chelodina longicollis
2449538,33649,Pseudechis porphyriacus
2451347,33436,Sceloporus undulatus
2448146,32816,Heteronotia binoei
8538855,31974,Urosaurus ornatus
2470715,30930,Varanus varius
2459603,30700,Ctenosaura similis
2451459,30683,Callisaurus draconoides
5225255,30552,Lampropholis guichenoti
2468262,29125,Elgaria multicarinata
5225659,28603,Morelia spilota
5789613,28602,Plestiodon fasciatus
5225256,28576,Lampropholis delicata
2444446,26455,Crotalus oreganus
2462522,25835,Tiliqua rugosa
2451154,25535,Sceloporus olivaceus
2444356,25430,Crotalus atrox
9416124,25206,Zamenis scalaris
8839848,25100,Emydura macquarii
8841716,24955,Eretmochelys imbricata
2451223,24213,Sceloporus graciosus
9185677,23620,Podarcis siculus
9125207,23617,Calotes versicolor
5227564,23127,Cnemidophorus lemniscatus
9013527,22887,Aspidoscelis gularis
2442153,22340,Lepidochelys olivacea
5959942,22246,Hemidactylus mabouia
